100 100
m 45 38
q 42 77
m 70 0
u 64 43
m 7 19
q 56 36
q 10 37
u 43 12
u 41 19
u 11 78
q 22 57
q 10 18
m 16 48
m 31 13
m 96 31
u 70 5
u 11 58
u 27 3
u 36 5
u 52 20
q 45 9
q 21 68
u 15 82
q 87 20
m 27 10
u 95 41
u 27 96
u 11 88
q 57 2
q 19 9
u 54 0
u 66 95
q 8 57
u 65 1
m 39 63
m 47 53
q 39 51
u 5 67
u 26 19
q 50 18
m 27 82
q 4 16
u 24 91
m 88 96
u 54 32
q 92 99
u 62 64
m 37 58
q 64 91
u 49 76
q 56 34
m 95 76
m 21 70
u 38 30
m 62 3
m 2 87
u 63 2
m 61 1
q 54 83
m 5 82
u 96 32
m 39 39
q 25 44
q 72 58
q 25 23
q 1 21
m 64 72
m 6 4
q 90 18
m 88 91
u 80 22
u 45 43
m 46 71
q 19 13
m 82 46
u 74 66
q 34 57
u 55 5
q 13 30
q 69 72
u 33 60
u 36 21
m 13 90
m 53 96
u 31 41
u 28 75
m 1 59
q 63 21
q 48 95
u 57 93
q 67 65
q 21 39
q 97 25
u 64 99
m 87 6
u 71 56
u 14 56
q 35 11
m 58 75
m 97 72
