100000 100000
m 1295 89853
m 99746 34992
q 29533 4300
u 23281 88954
u 96928 47919
u 60520 84573
m 40709 37371
q 73978 32442
m 17539 30311
u 30001 74487
q 829 92498
u 4707 69051
m 64305 95458
m 94502 71364
m 36641 6503
q 96408 60742
u 89129 21922
m 30075 54223
u 63627 11170
q 64861 5337
u 95540 17240
m 71981 37425
m 40947 75679
u 8087 80096
m 17545 98642
q 99392 10034
m 95452 64523
q 33279 54181
m 48855 26569
u 52027 32821
q 75216 88351
q 62253 83691
q 88586 50962
m 97193 25914
q 77462 98788
u 14725 3680
m 44942 60039
q 46262 25189
q 43298 69868
u 14409 63735
u 18903 21977
u 43691 79780
q 59090 49969
u 14211 66045
m 41385 84188
m 49584 83606
m 23264 84598
q 64565 89131
m 66044 2103
q 89796 21360
u 45019 14175
u 92039 93058
q 35904 67951
u 36354 18178
u 39639 74967
q 98900 24221
m 97959 49335
u 75611 23647
q 7053 64102
u 82393 62728
q 43560 96318
m 54963 2785
m 59877 78067
m 51523 95030
u 43752 8285
u 2499 53875
m 61943 53957
m 72989 31735
q 76476 5251
u 29778 45458
q 83289 23513
q 12539 93295
q 56050 63304
q 6711 38387
u 83578 61095
m 98381 36747
q 56150 83730
q 29622 9360
m 89525 85983
u 89867 78839
u 98488 75791
q 94685 85830
q 87625 62371
u 98626 14099
u 39795 19736
m 54595 33886
q 51469 74120
u 57825 48331
q 22577 30310
u 69157 94932
q 45608 8502
q 63147 50893
m 47507 42141
q 87366 19388
m 27366 20609
q 18529 89629
m 90805 65913
u 66410 70761
q 22733 7818
q 1298 17068
u 41623 94721
q 66198 81840
u 59959 83166
q 75434 34254
u 48607 86255
m 3023 48402
q 54915 77969
u 49149 85682
q 42754 85025
u 68596 51263
m 84236 8031
m 33271 981
m 19082 15751
q 89794 37694
u 76610 97001
m 28426 24535
m 34073 97201
q 98219 54449
m 51775 25584
m 87226 97750
u 37012 99293
u 50619 59486
m 41401 94232
m 63504 60033
m 36708 52354
u 27216 88850
m 51997 50147
m 45121 67628
q 84862 95844
m 67515 81254
u 1413 52879
m 63587 92330
q 94283 39324
u 16129 19692
u 88424 25238
u 51508 90688
q 65706 66507
u 31920 79051
u 78839 84234
u 78991 70238
q 94458 41316
m 20263 91886
m 91632 36754
m 80372 83248
u 70940 29211
m 98671 4644
u 36403 15821
q 61722 19770
u 3614 22997
m 80471 39528
m 1753 77161
u 74364 82538
m 6267 37526
q 29687 84169
u 72044 4551
u 52133 65135
u 44838 79081
u 63115 79373
q 95513 61686
q 37569 40431
u 64270 60376
q 30835 26551
m 62857 85041
m 62250 95614
m 58083 6480
u 83756 55249
u 80535 98527
u 74772 44049
m 58336 88792
u 73110 17131
m 69380 28910
q 73214 11674
q 12137 11606
m 94699 71913
q 71854 13716
q 96638 48406
m 97788 62790
m 91487 18883
u 74950 28587
u 18607 60905
q 76365 70017
u 42497 45038
m 4200 65200
u 12417 36627
u 70962 68909
q 2998 90145
u 65325 19584
u 14949 77892
m 20550 37647
u 8341 95131
m 80932 38006
u 49948 55154
q 1425 60337
m 28268 28200
u 35943 46571
u 66180 82003
q 6125 32250
m 48341 49227
q 10769 94292
m 45414 7726
q 49579 51665
u 32797 54782
m 73972 38970
m 73415 27443
u 93117 76757
u 50875 82652
m 58193 5793
q 48913 31058
u 31030 9509
m 16944 77000
m 23465 68416
u 43556 97968
m 20500 81583
u 74568 46576
u 34967 24225
q 32199 23230
m 10661 14943
q 13940 87858
q 51080 63198
u 84621 47339
u 34064 18382
q 36490 93671
q 35914 24895
m 68302 24546
u 34355 98125
m 88259 52133
q 89513 8762
m 14540 30262
u 80019 50644
u 57944 10086
u 57985 9040
u 80966 24257
q 75514 69875
q 45281 65455
u 40213 17897
u 33925 75700
q 29184 84508
m 70739 10932
m 34693 97589
m 49481 90608
u 86676 76052
q 5180 83711
q 42406 26632
u 11191 95354
u 75357 23484
u 83333 7128
m 17747 20248
u 59337 15765
m 70593 90824
q 60588 4135
u 69321 34141
m 24985 40145
m 91216 29412
u 56645 33853
q 80152 61900
m 11859 84073
u 31585 50213
u 21908 69305
q 92989 34201
u 7295 27986
u 55458 61852
m 81936 70799
m 30292 47504
q 89329 83511
q 69526 81562
q 71902 33803
q 40914 6648
u 64149 90313
q 93983 16200
u 85551 16572
m 74296 8716
u 99106 4379
u 75588 72238
q 96097 17524
u 90251 41598
q 64226 52244
u 8949 32933
m 26838 81844
m 90920 2417
u 98499 90469
m 73457 71940
q 50204 70285
u 47516 43130
q 8421 34818
q 65969 51852
u 8258 69098
q 84154 10427
u 31496 54484
q 88710 19896
m 56411 3826
u 32365 9541
m 20537 99060
