10000 10000
u 3776 5287
u 5475 3102
u 8722 6048
m 1543 4350
q 5533 1760
m 6599 2362
u 8008 2721
m 9552 6364
q 4186 5416
m 3187 9322
m 3842 6712
q 3826 8757
q 8075 8276
q 729 6476
m 3827 99
m 5521 187
u 5638 7408
q 5556 884
u 1726 272
m 6778 6807
m 8074 1538
u 6890 7601
m 1522 1542
q 2986 7144
q 9000 1522
m 3190 9734
u 6475 7511
u 7122 52
u 7480 8097
u 5608 716
u 7483 2086
q 2912 323
m 9850 2938
q 8514 1452
u 1423 2148
m 4018 7773
q 5238 1378
m 8361 5777
q 5910 5930
m 3666 6014
m 4262 6928
m 2654 994
m 8724 6267
q 7104 7464
q 7735 561
q 9983 4341
u 7948 9009
u 1769 5630
m 2488 5347
m 6853 3047
q 3475 4090
u 4651 8185
u 194 7027
q 4163 8226
m 6872 630
m 3929 9674
u 6942 7565
m 2001 1806
m 4089 3654
q 6202 1735
u 4220 2536
u 3916 5120
m 9609 8139
u 144 2683
m 8776 4100
m 9124 6921
u 470 3761
q 8704 3662
m 9455 8025
q 2025 4893
q 2239 479
u 7029 2923
q 2392 6613
u 201 3373
q 9866 4470
u 2249 7368
u 5255 2505
q 6865 583
u 1498 2139
m 3610 1415
q 8355 3625
u 5718 4849
m 5046 6105
m 4028 1922
u 8256 2743
u 4120 7805
m 6223 6303
q 9289 2206
u 9695 4915
u 3484 7663
q 162 8907
q 2121 7198
m 2250 6137
q 428 8626
q 5747 2568
m 1896 1552
u 9892 2527
q 6468 9666
m 1490 2562
m 3740 9964
m 9941 1121
m 5170 6779
m 1294 9724
u 1015 3007
m 748 7923
u 274 8614
m 1631 6148
m 5815 4704
m 9734 9194
q 3292 3404
u 5242 7611
m 5391 8626
u 5204 7007
m 755 2844
m 6949 8171
u 5002 816
u 2625 4170
u 9109 2688
m 8722 351
u 2356 110
m 7225 3103
q 7905 6148
q 4336 3009
m 397 1603
m 846 2384
q 6689 271
q 5844 2475
u 2947 8652
u 5452 5943
m 7725 146
q 1486 4916
m 7490 4771
m 5205 9030
u 5776 1974
m 2416 237
m 7427 7383
u 7487 5365
q 5571 8523
m 4561 1361
q 8503 685
q 6129 3135
m 1227 6611
q 6151 3839
u 2806 9803
q 9382 2561
q 8168 8069
u 6139 7740
q 2672 492
u 8625 2104
m 5332 4822
q 4477 3344
m 1208 8087
m 215 1535
u 1966 827
q 5984 3332
u 8976 690
q 8579 9898
u 521 7121
u 249 9134
u 4525 2252
u 8795 5513
q 1021 710
m 2872 2210
u 672 7312
q 8072 6548
u 6496 9002
q 4320 7918
u 4357 2173
m 3388 6104
m 3641 9926
q 8395 8090
q 9924 4874
u 9060 1076
q 923 5717
q 8494 8881
u 1610 814
u 6965 9771
m 4353 8216
m 1891 7623
u 3900 2053
q 5004 7390
m 3299 7131
m 782 9328
m 5791 5382
u 8822 5692
u 6381 7246
q 1374 8321
q 4431 9049
m 2278 2481
q 7167 2550
u 9581 5630
u 2130 397
q 4046 7489
m 206 139
q 6603 1881
q 6864 1183
